"date";"estate_region";"crop_type";"rainfall_mm";"fertilizer_kg_ha";"labor_hours";"soil_index";"yield_ton_ha";"burning_incidents";"water_quality_index";"esg_score";"esg_flag";"cpo_price_index";"opex";"revenue";"profit";"supply_risk";"year";"month";"kpi_target";"sigma_assumed";"revenue_billion_idr";"opex_billion_idr";"profit_billion_idr";"business_unit_id";"time_id";"row_id"
2010-01-01;"Jambi";"PalmOil";73,4298972610058;235,162113896174;14253,7824222047;117,017185833814;3,49437331024568;0;67,0107873410565;64;"Yellow";137,280674175437;56828713255,3315;53711023205,3973;-3042901343,32278;"Yes";2010;1;4,2;0,8;53,7110232053973;56,8287132553315;-3,04290134332278;"BU_SMART";201001;"RID_BU_SMART_Jambi_201001"
2010-02-01;"Jambi";"PalmOil";210,708194560579;249,511444348651;17162,4783401568;110,537383502489;3,59803627003655;0;98;71;"Yellow";126,61407610652;68186293152,8823;51707389962,8355;-16575186105,5725;"Yes";2010;2;4,2;0,8;51,7073899628355;68,1862931528823;-16,5751861055725;"BU_SMART";201002;"RID_BU_SMART_Jambi_201002"
2010-03-01;"Jambi";"PalmOil";410,367575544677;219,494813144333;13813,7791627083;105,956683986841;3,22416630578512;0;83,8760430777648;63;"Yellow";138,382090062571;55406967021,4031;54126346385,1792;-1371988096,46786;"Yes";2010;3;4,2;0,8;54,1263463851792;55,4069670214031;-1,37198809646786;"BU_SMART";201003;"RID_BU_SMART_Jambi_201003"
2010-04-01;"Jambi";"Sugar";322,038472666207;187,452941297849;12155,5300311945;123,117752212996;4,04685698068745;1;79,0425308638209;68;"Yellow";160,838658932457;48850151343,175;72274951621,0905;23332914333,1356;"No";2010;4;4,2;0,8;72,2749516210905;48,850151343175;23,3329143331356;"BU_SMART";201004;"RID_BU_SMART_Jambi_201004"
2010-05-01;"Jambi";"PalmOil";46,1992106595289;140,10732917247;14895,6927634991;115,540584353739;3,01725790924837;0;73,7364768837556;68;"Yellow";94,5674532047926;58062501429,9613;32254115128,1479;-25895719158,2666;"Yes";2010;5;4,2;0,8;32,2541151281479;58,0625014299613;-25,8957191582666;"BU_SMART";201005;"RID_BU_SMART_Jambi_201005"
2010-06-01;"Jambi";"Rubber";192,8337039753;173,429425382618;19150,5161247298;104,168000555591;4,24796569536188;0;97,2034618514789;61;"Yellow";103,435737151622;75215042662,7325;54036743133,9744;-21345285461,099;"No";2010;6;4,2;0,8;54,0367431339744;75,2150426627325;-21,345285461099;"BU_SMART";201006;"RID_BU_SMART_Jambi_201006"
2010-07-01;"Jambi";"PalmOil";248,582912635774;224,340010852833;17955,9770220278;131,812147994426;4,13113246907543;0;65,2819387517778;69;"Yellow";86,2242849915602;71128043582,9627;41381491791,8319;-29683246144,425;"No";2010;7;4,2;0,8;41,3814917918319;71,1280435829627;-29,683246144425;"BU_SMART";201007;"RID_BU_SMART_Jambi_201007"
2010-08-01;"Jambi";"PalmOil";253,792258630948;336,242814994369;16324,9915806168;114,840988472668;NA;0;81,2060362053367;76;"Yellow";134,497416566778;65690872661,5296;69012930756,1671;3355826165,7158;"No";2010;8;4,2;0,8;69,0129307561671;65,6908726615296;3,3558261657158;"BU_SMART";201008;"RID_BU_SMART_Jambi_201008"
2010-09-01;"Jambi";"PalmOil";207,973961986863;252,677280712853;21456,0679417213;88,6190052786028;4,28093962941684;0;90,8388426977951;58;"Red";113,074131556706;84626843568,8399;57517920244,6084;-27030646637,6786;"Yes";2010;9;4,2;0,8;57,5179202446084;84,6268435688399;-27,0306466376786;"BU_SMART";201009;"RID_BU_SMART_Jambi_201009"
2010-10-01;"Jambi";"PalmOil";115,943716414674;279,816169106663;21377,3098276119;91,1485818167838;3,90430247791701;0;78,5506707094398;63;"Yellow";130,828236956204;84347402615,8177;60596537226,8541;-23937126565,4278;"No";2010;10;4,2;0,8;60,5965372268541;84,3474026158177;-23,9371265654278;"BU_SMART";201010;"RID_BU_SMART_Jambi_201010"
