"date","web_traffic","marketing_spend","avg_price","discount_rate","effective_price","operational_cost","num_transactions","engagement_score","conversion_index","noise_feature","sales","profit","customer_segment","region","churn"
2013-01-01,4495.57191810301,4194.89109762277,58.672722845804,41.85362610238,52.6478263199734,74173.3363354948,200.415250472724,33.5079768363661,107.142244960791,1.11062335633244,2669.95811785197,945.682254707445,"Medium","West","No"
2013-01-02,4792.84025946505,4604.44699530802,36.4830371690914,29.1659402147422,35.2150882656218,45961.9339971201,911.743118986487,51.1284513474985,104.068948450562,-0.549842625037379,2821.32540353689,1032.77211710324,"Low","Central","Yes"
2013-01-03,6402.83748273421,6091.91174048607,77.5287332572043,34.6348069767436,64.7339108939297,65186.5070097837,645.020553842187,39.9049649668099,105.086660622191,0.00485586040931111,3612.42614137216,1344.83926903711,"Medium","Central","No"
2013-01-04,5063.45755228212,4273.13361855988,46.9147109705955,27.1592412612452,42.5219410306003,NA,996.020216681063,32.831561322413,118.467460406355,-1.30226240218088,3942.02392575742,1502.69582311355,"Low","Central","No"
2013-01-05,5116.35896164485,4099.2173698764,13.1024051085114,31.1254504029585,18.6837627314153,58350.1363186808,268.472094461322,31.2970768485802,124.782627361024,1.73667120585691,4066.19526320165,1529.97463061216,"Low","West","No"
2013-01-06,6543.55848819495,6681.6716284506,57.0856917696074,35.6599295275449,52.7300375620112,71316.6453296581,250.072296150029,52.4934447425162,97.9183005242485,-0.37535977570279,2819.43180631507,1025.86255578286,"Low","Central","Yes"
2013-01-07,5414.82458539028,5051.05559753241,52.9180945968255,36.9024076768652,52.6687536755788,63239.343094034,386.706985719502,56.8926617124267,107.18062144912,0.719913821665325,3220.8200409063,1222.03407646709,"Low","Central","No"
2013-01-08,3861.44488885412,3665.22197580123,40.087652488146,28.8359829288725,36.1814878367998,74741.6699580427,290.143110789359,26.4429288089446,105.324907066224,-1.43117863958835,2263.84041560868,NA,"Medium","Central","No"
2013-01-09,4381.83243329583,3673.39528314273,37.5744640803896,21.9967833637243,34.0966761261853,106091.022660118,578.316379338503,42.9708304012812,119.253158564585,0.223648373962832,3360.89448667886,1256.33600367841,"Medium","East","No"
2013-01-10,4598.90422691004,4570.75684130026,63.2151841185987,28.5081541146703,53.2461348144668,89621.9034498682,453.679137863219,48.0218812041505,100.593806419548,-0.228215502033593,2355.26567506702,913.222412817005,"Medium","Central","No"
2013-01-11,6101.67361769552,6165.38276676537,34.6504387469031,28.6218795830384,33.9868794292241,54433.1305690973,757.07254242152,42.5572922236982,98.9506141360764,-0.648203762781138,2890.25544244846,1074.34316602699,"High","West","No"
2013-01-12,5323.83244435163,5356.28688016802,43.3237969642505,29.8483721341436,40.0323353377662,85599.5096196715,307.28546846658,46.5862088550683,99.3755339864245,0.0379301497846006,2490.80883088943,908.573882487323,"Medium","Central","No"
2013-01-13,5360.69430553465,4324.75065426455,27.0605034870096,35.4467301034371,28.5051792310996,68623.7213771515,831.238269433379,47.3267376642489,123.925180482832,0.433235758269273,4349.85482390332,1591.45216171523,"Low","East","No"
2013-01-14,5099.61444435061,4379.49288921257,55.2076603774913,24.9728911987613,51.5035612289948,68903.8411103167,569.609857536852,49.7578955538498,116.416452972882,-0.357700072268595,3697.01481606507,1408.01599662846,"Medium","West","No"
2013-01-15,4499.74297872133,4169.10102096078,39.62868824834,21.8373187246069,32.6195716134549,76905.2050973338,644.470775127411,32.9099898143083,107.904891418784,1.16402699997803,2826.09935781684,1011.36597687627,"Medium","Central","No"
2013-01-16,6608.22182312277,6288.61631708866,NA,33.8677122259719,51.4039279667117,64672.3462935478,422.315765731037,52.1179582636212,105.065579360834,0.895272365843808,3622.76680387324,1338.6926142808,"Low","East","No"
2013-01-17,5448.06543040632,4849.05364099078,67.7915418986231,29.8589583863026,56.2142708996895,64198.237128039,508.742654137313,45.7609339488814,112.330003618133,0.165719643773375,3643.50827176993,1369.0251787836,"Medium","East","No"
2013-01-18,3230.04455903333,2714.07620372745,64.4815738499165,31.7813054489615,60.5074714788189,60900.0934200951,358.586185239255,36.2321116287809,118.96699453956,0.904806993137805,2573.69913621087,1008.11742695591,"Medium","West","No"
2013-01-19,5631.22031140732,5249.65846739549,24.3862755526789,23.3650344163598,24.7014023261257,72394.2870005584,477.932747267187,48.9038334493372,107.247887981574,0.583820364519939,3290.35315473315,1227.67369768937,"Medium","East","No"
